,T2_grassland,T2_forest,T2_building,T2_road,T2_bareground,T2_water
T1_grassland,32.01,60.5,0.85,0.59,6.05,0.0
T1_forest,4.32,95.08,0.08,0.06,0.46,0.0
T1_building,4.19,24.62,58.37,2.12,10.69,0.0
T1_road,18.59,26.58,1.55,49.05,4.23,0.0
T1_bareground,15.56,13.37,1.1,4.43,65.53,0.02
T1_water,0.0,0.0,0.0,0.0,0.0,0.0
