,T2_grassland,T2_forest,T2_building,T2_road,T2_bareground,T2_water
T1_grassland,0.191087,0.361205,0.0051,0.003514,0.036121,0.0
T1_forest,0.02013,0.442865,0.000369,0.000281,0.002147,0.0
T1_building,0.001001,0.005881,0.013944,0.000507,0.002555,0.0
T1_road,0.002585,0.003695,0.000216,0.00682,0.000588,0.0
T1_bareground,0.022137,0.019028,0.001561,0.006299,0.093263,2.6e-05
T1_water,0.0,0.0,0.0,0.0,0.0,0.0
