class,area_T1_km2,area_T2_km2,delta_km2,dynamic_degree_%_per_year
grassland,0.597027,0.236939,-0.360088,-10.0523
forest,0.465791,0.832674,0.366883,13.1276
building,0.023887,0.02119,-0.002697,-1.8819
road,0.013903,0.01742,0.003516,4.2154
bareground,0.142314,0.134673,-0.007641,-0.8948
water,0.0,2.6e-05,2.6e-05,
