,T2_grassland,T2_forest,T2_building,T2_road,T2_bareground,T2_water
T1_grassland,132699,250837,3542,2440,25084,0
T1_forest,13979,307545,256,195,1491,0
T1_building,695,4084,9683,352,1774,0
T1_road,1795,2566,150,4736,408,0
T1_bareground,15373,13214,1084,4374,64766,18
T1_water,0,0,0,0,0,0
