,T2_grassland,T2_forest,T2_building,T2_road,T2_bareground,T2_water
T1_grassland,0.191087 (32.01%),0.361205 (60.5%),0.0051 (0.85%),0.003514 (0.59%),0.036121 (6.05%),0.0 (0.0%)
T1_forest,0.02013 (4.32%),0.442865 (95.08%),0.000369 (0.08%),0.000281 (0.06%),0.002147 (0.46%),0.0 (0.0%)
T1_building,0.001001 (4.19%),0.005881 (24.62%),0.013944 (58.37%),0.000507 (2.12%),0.002555 (10.69%),0.0 (0.0%)
T1_road,0.002585 (18.59%),0.003695 (26.58%),0.000216 (1.55%),0.00682 (49.05%),0.000588 (4.23%),0.0 (0.0%)
T1_bareground,0.022137 (15.56%),0.019028 (13.37%),0.001561 (1.1%),0.006299 (4.43%),0.093263 (65.53%),2.6e-05 (0.02%)
T1_water,0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
