class,area_T1_km2,area_T2_km2,delta_km2,dynamic_degree_%_per_year
grassland,0.646242,0.493603,-0.152639,-3.9366
forest,0.044142,0.247738,0.203596,76.872
building,0.001017,7.3e-05,-0.000943,-15.4627
road,0.052098,0.049846,-0.002252,-0.7205
bareground,0.057597,0.010002,-0.047595,-13.7724
water,0.000167,0.0,-0.000167,-16.6667
