,T2_grassland,T2_forest,T2_building,T2_road,T2_bareground,T2_water
T1_grassland,0.442439 (68.46%),0.188981 (29.24%),6.3e-05 (0.01%),0.009396 (1.45%),0.005363 (0.83%),0.0 (0.0%)
T1_forest,0.003895 (8.82%),0.038811 (87.92%),0.0 (0.0%),0.000621 (1.41%),0.000815 (1.85%),0.0 (0.0%)
T1_building,0.000559 (54.96%),0.000458 (45.04%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
T1_road,0.005923 (11.37%),0.007993 (15.34%),1e-05 (0.02%),0.038172 (73.27%),0.0 (0.0%),0.0 (0.0%)
T1_bareground,0.04064 (70.56%),0.011475 (19.92%),0.0 (0.0%),0.001657 (2.88%),0.003825 (6.64%),0.0 (0.0%)
T1_water,0.000148 (88.79%),1.9e-05 (11.21%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
