,T2_grassland,T2_forest,T2_building,T2_road,T2_bareground,T2_water
T1_grassland,307249,131237,44,6525,3724,0
T1_forest,2705,26952,0,431,566,0
T1_building,388,318,0,0,0,0
T1_road,4113,5551,7,26508,0,0
T1_bareground,28222,7969,0,1151,2656,0
T1_water,103,13,0,0,0,0
