class,area_T1_km2,area_T2_km2,delta_km2,dynamic_degree_%_per_year
grassland,0.321175,0.152928,-0.168247,-8.7308
forest,0.201129,0.44591,0.244781,20.2839
building,0.026794,0.017791,-0.009003,-5.6
road,0.031114,0.022568,-0.008546,-4.578
bareground,0.059196,0.000314,-0.058882,-16.5783
water,0.00073,0.000626,-0.000104,-2.3669
