,T2_grassland,T2_forest,T2_building,T2_road,T2_bareground,T2_water
T1_grassland,0.112896 (35.15%),0.203589 (63.39%),0.003047 (0.95%),0.001164 (0.36%),8.5e-05 (0.03%),0.000395 (0.12%)
T1_forest,0.005304 (2.64%),0.195185 (97.04%),0.000557 (0.28%),8.4e-05 (0.04%),0.0 (0.0%),0.0 (0.0%)
T1_building,0.002036 (7.6%),0.011579 (43.21%),0.012375 (46.19%),0.000585 (2.18%),0.0 (0.0%),0.000219 (0.82%)
T1_road,0.00145 (4.66%),0.007865 (25.28%),0.00114 (3.67%),0.020645 (66.35%),0.0 (0.0%),1.3e-05 (0.04%)
T1_bareground,0.030512 (51.54%),0.027693 (46.78%),0.000671 (1.13%),9.1e-05 (0.15%),0.000229 (0.39%),0.0 (0.0%)
T1_water,0.00073 (100.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
