class,area_T1_km2,area_T2_km2,delta_km2,dynamic_degree_%_per_year
grassland,0.319239,0.356723,0.037483,1.9569
forest,0.772727,0.828361,0.055634,1.2
building,0.005779,0.016564,0.010786,31.1072
road,0.027855,0.025978,-0.001878,-1.1235
bareground,0.135075,0.022065,-0.11301,-13.9441
water,0.0,0.010984,0.010984,
