,T2_grassland,T2_forest,T2_building,T2_road,T2_bareground,T2_water
T1_grassland,129910,67824,8745,1506,10769,2940
T1_forest,28700,497106,600,2360,3162,4688
T1_building,1275,249,2135,354,0,0
T1_road,3731,3821,23,11769,0,0
T1_bareground,84108,6251,0,2051,1392,0
T1_water,0,0,0,0,0,0
