,T2_grassland,T2_forest,T2_building,T2_road,T2_bareground,T2_water
T1_grassland,0.18707,0.097667,0.012593,0.002169,0.015507,0.004234
T1_forest,0.041328,0.715833,0.000864,0.003398,0.004553,0.006751
T1_building,0.001836,0.000359,0.003074,0.00051,0.0,0.0
T1_road,0.005373,0.005502,3.3e-05,0.016947,0.0,0.0
T1_bareground,0.121116,0.009001,0.0,0.002953,0.002004,0.0
T1_water,0.0,0.0,0.0,0.0,0.0,0.0
