,T2_grassland,T2_forest,T2_building,T2_road,T2_bareground,T2_water
T1_grassland,58.6,30.59,3.94,0.68,4.86,1.33
T1_forest,5.35,92.64,0.11,0.44,0.59,0.87
T1_building,31.77,6.2,53.2,8.82,0.0,0.0
T1_road,19.29,19.75,0.12,60.84,0.0,0.0
T1_bareground,89.67,6.66,0.0,2.19,1.48,0.0
T1_water,0.0,0.0,0.0,0.0,0.0,0.0
