,T2_grassland,T2_forest,T2_building,T2_road,T2_bareground,T2_water
T1_grassland,0.18707 (58.6%),0.097667 (30.59%),0.012593 (3.94%),0.002169 (0.68%),0.015507 (4.86%),0.004234 (1.33%)
T1_forest,0.041328 (5.35%),0.715833 (92.64%),0.000864 (0.11%),0.003398 (0.44%),0.004553 (0.59%),0.006751 (0.87%)
T1_building,0.001836 (31.77%),0.000359 (6.2%),0.003074 (53.2%),0.00051 (8.82%),0.0 (0.0%),0.0 (0.0%)
T1_road,0.005373 (19.29%),0.005502 (19.75%),3.3e-05 (0.12%),0.016947 (60.84%),0.0 (0.0%),0.0 (0.0%)
T1_bareground,0.121116 (89.67%),0.009001 (6.66%),0.0 (0.0%),0.002953 (2.19%),0.002004 (1.48%),0.0 (0.0%)
T1_water,0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
