class,area_T1_km2,area_T2_km2,delta_km2,dynamic_degree_%_per_year
grassland,0.241163,0.131665,-0.109498,-7.5673
forest,0.449639,0.608759,0.15912,5.8981
building,0.171239,0.161199,-0.01004,-0.9772
road,0.047772,0.026201,-0.021571,-7.5257
bareground,0.06082,0.042785,-0.018035,-4.9421
water,0.006523,0.006546,2.3e-05,0.0589
