,T2_grassland,T2_forest,T2_building,T2_road,T2_bareground,T2_water
T1_grassland,0.085298 (35.37%),0.11628 (48.22%),0.018753 (7.78%),0.002046 (0.85%),0.018446 (7.65%),0.000338 (0.14%)
T1_forest,0.004091 (0.91%),0.430664 (95.78%),0.009338 (2.08%),0.000472 (0.11%),0.005037 (1.12%),3.6e-05 (0.01%)
T1_building,0.013553 (7.91%),0.024189 (14.13%),0.125581 (73.34%),0.00114 (0.67%),0.006775 (3.96%),0.0 (0.0%)
T1_road,0.001875 (3.92%),0.016032 (33.56%),0.007062 (14.78%),0.022542 (47.19%),0.000104 (0.22%),0.000158 (0.33%)
T1_bareground,0.026847 (44.14%),0.021201 (34.86%),0.000348 (0.57%),0.0 (0.0%),0.012423 (20.43%),0.0 (0.0%)
T1_water,0.0 (0.0%),0.000393 (6.03%),0.000117 (1.79%),0.0 (0.0%),0.0 (0.0%),0.006013 (92.19%)
