,T2_grassland,T2_forest,T2_building,T2_road,T2_bareground,T2_water
T1_grassland,35.37,48.22,7.78,0.85,7.65,0.14
T1_forest,0.91,95.78,2.08,0.11,1.12,0.01
T1_building,7.91,14.13,73.34,0.67,3.96,0.0
T1_road,3.92,33.56,14.78,47.19,0.22,0.33
T1_bareground,44.14,34.86,0.57,0.0,20.43,0.0
T1_water,0.0,6.03,1.79,0.0,0.0,92.19
