,T2_grassland,T2_forest,T2_building,T2_road,T2_bareground,T2_water
T1_grassland,0.032018,0.148643,0.00254,0.009841,0.015402,0.0
T1_forest,0.005882,0.574799,0.001217,0.000847,0.025561,4e-06
T1_building,0.00058,0.004254,0.00824,0.000383,0.0,0.0
T1_road,0.002161,0.008899,0.000122,0.010745,0.000351,0.0
T1_bareground,0.002755,0.009312,0.000216,0.000101,0.0,0.0
T1_water,0.0,0.000295,0.0,0.0,0.0,0.0
