,T2_grassland,T2_forest,T2_building,T2_road,T2_bareground,T2_water
T1_grassland,15.36,71.31,1.22,4.72,7.39,0.0
T1_forest,0.97,94.49,0.2,0.14,4.2,0.0
T1_building,4.31,31.61,61.23,2.85,0.0,0.0
T1_road,9.7,39.94,0.55,48.23,1.58,0.0
T1_bareground,22.24,75.2,1.74,0.81,0.0,0.0
T1_water,0.0,100.0,0.0,0.0,0.0,0.0
