class,area_T1_km2,area_T2_km2,delta_km2,dynamic_degree_%_per_year
grassland,0.208444,0.043397,-0.165047,-13.1967
forest,0.608311,0.746202,0.137892,3.778
building,0.013457,0.012335,-0.001122,-1.3893
road,0.02228,0.021917,-0.000363,-0.2715
bareground,0.012384,0.041315,0.028931,38.936
water,0.000295,4e-06,-0.000291,-16.4228
