,T2_grassland,T2_forest,T2_building,T2_road,T2_bareground,T2_water
T1_grassland,0.032018 (15.36%),0.148643 (71.31%),0.00254 (1.22%),0.009841 (4.72%),0.015402 (7.39%),0.0 (0.0%)
T1_forest,0.005882 (0.97%),0.574799 (94.49%),0.001217 (0.2%),0.000847 (0.14%),0.025561 (4.2%),4e-06 (0.0%)
T1_building,0.00058 (4.31%),0.004254 (31.61%),0.00824 (61.23%),0.000383 (2.85%),0.0 (0.0%),0.0 (0.0%)
T1_road,0.002161 (9.7%),0.008899 (39.94%),0.000122 (0.55%),0.010745 (48.23%),0.000351 (1.58%),0.0 (0.0%)
T1_bareground,0.002755 (22.24%),0.009312 (75.2%),0.000216 (1.74%),0.000101 (0.81%),0.0 (0.0%),0.0 (0.0%)
T1_water,0.0 (0.0%),0.000295 (100.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
