,T2_grassland,T2_forest,T2_building,T2_road,T2_bareground,T2_water
T1_grassland,160523,94937,2652,4864,562,263
T1_forest,1262,51054,1029,728,0,0
T1_building,5919,509,6759,129,1601,0
T1_road,4155,2640,72,7976,1074,0
T1_bareground,31174,4279,411,2120,33920,0
T1_water,742,2460,0,0,0,14778
