,T2_grassland,T2_forest,T2_building,T2_road,T2_bareground,T2_water
T1_grassland,60.85,35.99,1.01,1.84,0.21,0.1
T1_forest,2.33,94.42,1.9,1.35,0.0,0.0
T1_building,39.68,3.41,45.31,0.86,10.73,0.0
T1_road,26.1,16.59,0.45,50.11,6.75,0.0
T1_bareground,43.36,5.95,0.57,2.95,47.17,0.0
T1_water,4.13,13.68,0.0,0.0,0.0,82.19
