class,area_T1_km2,area_T2_km2,delta_km2,dynamic_degree_%_per_year
grassland,0.379873,0.293436,-0.086437,-3.7924
forest,0.077865,0.224466,0.146601,31.3792
building,0.02148,0.015729,-0.005751,-4.4625
road,0.02292,0.022776,-0.000144,-0.1047
bareground,0.103542,0.053506,-0.050036,-8.054
water,0.025891,0.021659,-0.004232,-2.7243
