,T2_grassland,T2_forest,T2_building,T2_road,T2_bareground,T2_water
T1_grassland,0.100411 (45.02%),0.121117 (54.3%),0.001009 (0.45%),0.000508 (0.23%),0.0 (0.0%),0.0 (0.0%)
T1_forest,0.001701 (0.49%),0.337101 (96.66%),0.00822 (2.36%),0.001724 (0.49%),0.0 (0.0%),0.0 (0.0%)
T1_building,0.000117 (0.93%),0.001282 (10.21%),0.010997 (87.63%),0.000154 (1.23%),0.0 (0.0%),0.0 (0.0%)
T1_road,0.000372 (4.45%),0.00095 (11.39%),0.00112 (13.43%),0.005901 (70.73%),0.0 (0.0%),0.0 (0.0%)
T1_bareground,0.012115 (39.19%),0.018799 (60.81%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
T1_water,0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
