,T2_grassland,T2_forest,T2_building,T2_road,T2_bareground,T2_water
T1_grassland,45.02,54.3,0.45,0.23,0.0,0.0
T1_forest,0.49,96.66,2.36,0.49,0.0,0.0
T1_building,0.93,10.21,87.63,1.23,0.0,0.0
T1_road,4.45,11.39,13.43,70.73,0.0,0.0
T1_bareground,39.19,60.81,0.0,0.0,0.0,0.0
T1_water,0.0,0.0,0.0,0.0,0.0,0.0
