class,area_T1_km2,area_T2_km2,delta_km2,dynamic_degree_%_per_year
grassland,0.069348,0.010367,-0.058981,-14.1752
forest,0.379747,0.424829,0.045082,1.9786
building,0.075963,0.111449,0.035486,7.7858
road,0.014913,0.013987,-0.000926,-1.0348
bareground,0.020661,0.0,-0.020661,-16.6667
water,0.0,0.0,0.0,
