,T2_grassland,T2_forest,T2_building,T2_road,T2_bareground,T2_water
T1_grassland,0.005626 (8.11%),0.044601 (64.32%),0.017232 (24.85%),0.001888 (2.72%),0.0 (0.0%),0.0 (0.0%)
T1_forest,0.001958 (0.52%),0.371287 (97.77%),0.004516 (1.19%),0.001986 (0.52%),0.0 (0.0%),0.0 (0.0%)
T1_building,0.002565 (3.38%),0.005134 (6.76%),0.066838 (87.99%),0.001427 (1.88%),0.0 (0.0%),0.0 (0.0%)
T1_road,3e-05 (0.2%),0.002922 (19.59%),0.003397 (22.78%),0.008564 (57.43%),0.0 (0.0%),0.0 (0.0%)
T1_bareground,0.000187 (0.91%),0.000886 (4.29%),0.019466 (94.22%),0.000122 (0.59%),0.0 (0.0%),0.0 (0.0%)
T1_water,0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%),0.0 (0.0%)
