,T2_grassland,T2_forest,T2_building,T2_road,T2_bareground,T2_water
T1_grassland,8.11,64.32,24.85,2.72,0.0,0.0
T1_forest,0.52,97.77,1.19,0.52,0.0,0.0
T1_building,3.38,6.76,87.99,1.88,0.0,0.0
T1_road,0.2,19.59,22.78,57.43,0.0,0.0
T1_bareground,0.91,4.29,94.22,0.59,0.0,0.0
T1_water,0.0,0.0,0.0,0.0,0.0,0.0
